Year,Month,Shortage,No Shortage,Not Reported
2020,March,0,0,105
2020,April,0,0,1796
2020,May,0,0,2926
2020,June,0,0,2695
2020,July,447,400,2125
2020,August,760,1258,1202
2020,September,720,1749,703
2020,October,737,2401,277
2020,November,861,2507,97
2020,December,1120,2460,93
2021,January,987,2652,93
2021,February,740,2525,84
2021,March,749,2845,93
2021,April,731,2777,90
2021,May,722,2838,93
2021,June,717,2723,91
2021,July,806,2798,93
2021,August,1010,2619,93
2021,September,1067,2444,90
2021,October,1054,2584,93
2021,November,1087,2374,90
2021,December,1113,2404,93
2022,January,932,2398,287
2022,February,231,2136,893
2022,March,74,2264,1231
2022,April,22,2048,1364
2022,May,16,2082,1443
2022,June,21,2010,1397
2022,July,47,2057,1413
2022,August,31,1918,1394
2022,September,32,1515,1343
2022,October,28,1556,1368
2022,November,36,1462,1344
2022,December,26,990,1907
2023,January,0,522,2329
2023,February,0,460,2120
2023,March,0,506,2346
2023,April,0,484,2258
2023,May,0,497,2309
2023,June,0,405,2339
2023,July,0,345,2472
2023,August,0,347,2436
2023,September,2,409,2380
2023,October,0,84,530
