Year,Month,Shortage,No Shortage,Not Reported
2020,January,80,220,286
2020,February,0,0,361
2020,March,0,6,12593
2020,April,30,257,130919
2020,May,6,235,165160
2020,June,48,442,162130
2020,July,10034,39506,116775
2020,August,24223,107761,42203
2020,September,25948,123925,24345
2020,October,29046,144421,10750
2020,November,32529,138354,9264
2020,December,37456,138220,11979
2021,January,31865,141469,14949
2021,February,22916,131354,15401
2021,March,21294,148516,17170
2021,April,19784,143240,19076
2021,May,19979,147207,20279
2021,June,18240,140992,21580
2021,July,19202,141201,26819
2021,August,23797,127523,35678
2021,September,29035,119585,33380
2021,October,30184,123554,34355
2021,November,28507,118919,32810
2021,December,31424,122245,34213
2022,January,28320,113384,45662
2022,February,11381,89061,68889
2022,March,9509,98934,78568
2022,April,8706,95445,77006
2022,May,8642,97796,79328
2022,June,8218,95370,77293
2022,July,9203,100482,77494
2022,August,9206,96373,77121
2022,September,7896,80916,76925
2022,October,7708,81964,80400
2022,November,7099,77788,79261
2022,December,7094,56135,102509
2023,January,5663,35521,120701
2023,February,4254,31315,111010
2023,March,4643,34203,123462
2023,April,4281,33319,119592
2023,May,4306,34690,123117
2023,June,3978,32650,120070
2023,July,4038,30649,126549
2023,August,3949,29933,127088
2023,September,3943,30897,123603
2023,October,909,6938,28493
