Year,Month,Shortage,No Shortage,Not Reported
2020,March,0,0,69
2020,April,0,0,349
2020,May,0,0,474
2020,June,0,0,449
2020,July,26,172,244
2020,August,44,343,83
2020,September,39,437,33
2020,October,35,461,31
2020,November,35,423,30
2020,December,18,478,31
2021,January,39,457,31
2021,February,58,390,28
2021,March,44,452,31
2021,April,32,448,30
2021,May,32,464,31
2021,June,38,442,30
2021,July,35,461,31
2021,August,60,436,31
2021,September,62,418,30
2021,October,180,316,31
2021,November,243,237,30
2021,December,270,226,31
2022,January,322,174,31
2022,February,298,150,28
2022,March,270,226,31
2022,April,267,213,30
2022,May,287,209,31
2022,June,219,259,32
2022,July,76,420,31
2022,August,80,411,31
2022,September,51,421,30
2022,October,55,416,31
2022,November,47,378,30
2022,December,62,172,229
2023,January,59,2,404
2023,February,56,0,364
2023,March,37,25,403
2023,April,32,30,388
2023,May,31,32,402
2023,June,30,30,390
2023,July,31,31,402
2023,August,31,31,401
2023,September,30,37,394
2023,October,7,8,92
