Hospitalised,Deaths (Smoothed),Year,Month,
,0,2020,January,
,0.143,2020,February,
,1819.43,2020,March,
,53196.144,2020,April,
,47124.142,2020,May,
,23516.999,2020,June,
743464,28015.001,2020,July,
1210672,32340.569,2020,August,
823014,22391.857,2020,September,
1093346,22396.571,2020,October,
2113795,38756.857,2020,November,
3404177,75151.568,2020,December,
3637003,97124.43,2021,January,
1833087,71790.856,2021,February,
1120631,37340.284,2021,March,
1135776,21190.573,2021,April,
822695,17784.141,2021,May,
424559,10247.571,2021,June,
744838,8430.998,2021,July,
2484718,28270.857,2021,August,
2599802,53819.286,2021,September,
1654644,49342.43,2021,October,
1335054,34532.572,2021,November,
2016271,39839.286,2021,December,
4243810,61236.428,2022,January,
2041208,66321.858,2022,February,
608128,33220.144,2022,March,
327375,13753.716,2022,April,
581395,10210.287,2022,May,
791227,9708.712,2022,June,
1126023,12451.999,2022,July,
1114928,14443.853,2022,August,
806904,12190.571,2022,September,
674765,12062.861,2022,October,
700830,10520.284,2022,November,
1056744,11565.712,2022,December,
1065600,15279.999,2023,January,
654000,12168.149,2023,February,
537445,8921.279,2023,March,
350092,6112.435,2023,April,
245323,3985.569,2023,May,
181331,,2023,June,
193743,,2023,July,
358690,,2023,August,
112409,,2023,September,
