New Cases (7 day Rolling Average),New Vaccinations,Year,Month,Earliest Date
7.429,,2020,January,2020-01-01 00:00:00
46.42699999999999,,2020,February,2020-02-01 00:00:00
110704.712,,2020,March,2020-03-01 00:00:00
838086.2849999999,,2020,April,2020-04-01 00:00:00
771816.145,,2020,May,2020-05-01 00:00:00
759735.8550000001,,2020,June,2020-06-01 00:00:00
1829255.7130000002,,2020,July,2020-07-01 00:00:00
1574010.4280000003,,2020,August,2020-08-01 00:00:00
1210747.4260000004,,2020,September,2020-09-01 00:00:00
1697541.001,,2020,October,2020-10-01 00:00:00
4135489.4290000005,,2020,November,2020-11-01 00:00:00
6118536.572000001,4171482,2020,December,2020-12-01 00:00:00
6351917.999,30178374,2021,January,2021-01-01 00:00:00
2722506.7150000003,47821499,2021,February,2021-02-01 00:00:00
1801922.2850000001,80937423,2021,March,2021-03-01 00:00:00
1875536.285,91709747,2021,April,2021-04-01 00:00:00
1059849.8550000002,57265189,2021,May,2021-05-01 00:00:00
411548.714,25898051,2021,June,2021-06-01 00:00:00
1161879.574,16140235,2021,July,2021-07-01 00:00:00
3899053.0000000005,23941930,2021,August,2021-08-01 00:00:00
4331533.714000001,22153922,2021,September,2021-09-01 00:00:00
2708612.7150000003,29225701,2021,October,2021-10-01 00:00:00
2506128.2830000003,41906682,2021,November,2021-11-01 00:00:00
4549483.143999999,46746787,2021,December,2021-12-01 00:00:00
20142496.143999994,30797819,2022,January,2022-01-01 00:00:00
5602148.001000001,12164967,2022,February,2022-02-01 00:00:00
1143259.859,6405800,2022,March,2022-03-01 00:00:00
1055803.428,13398280,2022,April,2022-04-01 00:00:00
2621406.856,11146722,2022,May,2022-05-01 00:00:00
3011890.712,7600129,2022,June,2022-06-01 00:00:00
3701756.712,7912635,2022,July,2022-07-01 00:00:00
3204926.7120000003,5546442,2022,August,2022-08-01 00:00:00
1924953.0010000002,11817319,2022,September,2022-09-01 00:00:00
1231348.2859999998,20058110,2022,October,2022-10-01 00:00:00
1191827.001,13139069,2022,November,2022-11-01 00:00:00
1873784.573,8432444,2022,December,2022-12-01 00:00:00
1718595.281,4492014,2023,January,2023-01-01 00:00:00
1054917.1379999996,2009254,2023,February,2023-02-01 00:00:00
792502.567,1638571,2023,March,2023-03-01 00:00:00
494708.8549999999,1418847,2023,April,2023-04-01 00:00:00
244554.13799999995,677092,2023,May,2023-05-01 00:00:00
